pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Andrew Wiggins,3.6,.341,8.5,.493,6.5,.775,2.2,3.7,1.5,1.2,1.0,17.1
2,Jabari Parker,3.0,.358,11.2,.504,6.1,.748,3.0,5.7,1.2,1.1,1.2,19.1
3,Joel Embiid,0.2,.200,5.9,.639,5.1,.685,2.3,5.8,1.4,0.9,2.6,11.2
4,Aaron Gordon,1.2,.356,8.9,.513,4.7,.422,2.7,5.3,2.0,0.9,1.0,12.4
5,Dante Exum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,Marcus Smart,4.6,.295,7.3,.488,7.3,.751,1.5,4.4,4.5,2.9,0.6,16.6
7,Julius Randle,0.5,.167,9.3,.517,7.2,.706,3.5,6.9,1.4,0.5,0.8,15.0
8,Nik Stauskas,5.2,.441,4.0,.500,3.9,.832,0.5,2.5,2.3,0.6,0.3,14.1
9,Noah Vonleh,1.1,.485,6.1,.530,4.5,.716,2.4,6.6,0.6,0.9,1.4,11.3
10,Elfrid Payton,1.1,.268,9.2,.512,6.5,.611,1.5,3.6,4.9,2.0,0.5,14.3
11,Doug McDermott,4.1,.458,10.2,.587,4.9,.831,1.9,5.6,1.3,0.2,0.1,21.7
12,Dario Saric,4.1,.458,10.2,.587,4.9,.831,1.9,5.6,1.3,0.2,0.1,21.7
13,Zach LaVine,3.5,.375,4.3,.494,1.8,.691,0.5,2.1,1.8,0.9,0.2,9.4
14,T.J. Warren,2.0,.315,11.5,.598,4.3,.654,2.7,3.0,1.0,1.5,0.5,18.5
15,Adreian Payne,1.1,.409,5.1,.551,2.7,.755,1.5,3.8,0.6,0.6,1.0,8.9
16,Jusuf Nurkic,1.1,.409,5.1,.551,2.7,.755,1.5,3.8,0.6,0.6,1.0,8.9
17,James Young,5.9,.349,5.4,.470,4.4,.706,1.0,3.3,1.7,0.8,0.2,14.3
18,Tyler Ennis,2.5,.353,8.1,.429,4.4,.765,0.8,2.6,5.5,2.1,0.2,12.9
19,Gary Harris,5.6,.376,5.7,.503,3.5,.788,1.0,2.3,2.0,1.6,0.3,14.9
20,Bruno Caboclo,5.4,.470,5.9,.336,1.8,.756,1.3,4.5,1.4,1.1,1.5,12.4
21,Mitch McGary,0.0,nan,5.9,.592,1.6,.513,2.6,4.0,0.8,1.2,0.7,7.8
22,Jordan Adams,4.3,.331,7.3,.548,5.0,.839,1.3,3.3,2.1,2.4,0.2,16.4
23,Rodney Hood,4.4,.396,6.0,.499,2.6,.773,0.9,3.4,2.1,0.6,0.3,13.3
24,Shabazz Napier,4.8,.375,5.3,.444,4.4,.813,0.7,3.3,4.5,1.8,0.2,13.7
25,Clint Capela,4.8,.375,5.3,.444,4.4,.813,0.7,3.3,4.5,1.8,0.2,13.7
26,P.J. Hairston,5.1,.349,2.9,.458,2.5,.800,1.3,1.9,1.0,0.8,0.3,10.0
27,Bogdan Bogdanovic,5.1,.349,2.9,.458,2.5,.800,1.3,1.9,1.0,0.8,0.3,10.0
28,C.J. Wilcox,5.9,.389,5.4,.481,2.7,.840,0.8,2.5,1.6,0.9,0.7,14.4
29,Josh Huestis,1.5,.319,4.9,.492,2.1,.610,2.2,4.0,0.8,0.5,1.4,7.5
30,Kyle Anderson,1.4,.375,8.1,.465,4.3,.736,1.7,7.0,5.0,1.8,0.8,12.2
