pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Cleveland Cavaliers,27.5,.367,54.7,.504,23.6,.751,11.1,31.9,22.1,7.4,4.1,103.1
2,Milwaukee Bucks,18.3,.363,63.7,.486,21.1,.757,10.7,31.4,23.6,9.6,4.9,97.8
3,Philadelphia 76ers,26.3,.320,56.3,.449,23.8,.676,11.9,30.9,20.5,9.6,5.9,92.0
4,Orlando Magic,19.5,.347,63.3,.486,19.1,.729,10.0,31.8,20.6,7.9,3.8,95.7
5,Utah Jazz,21.7,.343,57.5,.486,23.5,.721,12.0,31.9,19.9,7.6,6.0,95.1
6,Boston Celtics,24.6,.327,63.3,.488,20.5,.754,11.1,32.7,24.5,8.2,3.6,101.4
7,Los Angeles Lakers,18.9,.344,66.8,.461,23.6,.741,11.6,32.3,20.9,7.0,4.5,98.5
8,Sacramento Kings,16.5,.341,64.2,.484,29.3,.762,10.9,33.3,20.3,6.7,4.0,101.3
9,Charlotte Hornets,19.1,.318,65.4,.450,22.8,.748,10.0,34.1,20.2,6.1,5.5,94.2
10,Philadelphia 76ers,26.3,.320,56.3,.449,23.8,.676,11.9,30.9,20.5,9.6,5.9,92.0
11,Denver Nuggets,24.8,.325,62.5,.476,24.3,.734,12.3,32.4,21.8,7.8,4.5,101.5
12,Orlando Magic,19.5,.347,63.3,.486,19.1,.729,10.0,31.8,20.6,7.9,3.8,95.7
13,Minnesota Timberwolves,14.9,.332,68.3,.461,25.7,.776,11.6,29.3,21.6,8.1,4.0,97.8
14,Phoenix Suns,25.0,.341,60.9,.497,21.5,.760,10.9,32.2,20.2,8.5,4.7,102.4
15,Atlanta Hawks,26.2,.380,55.5,.506,21.2,.778,8.7,31.8,25.7,9.1,4.6,102.5
16,Chicago Bulls,22.3,.353,60.6,.474,25.2,.783,11.7,34.0,21.7,6.3,5.8,100.8
17,Boston Celtics,24.6,.327,63.3,.488,20.5,.754,11.1,32.7,24.5,8.2,3.6,101.4
18,Phoenix Suns,25.0,.341,60.9,.497,21.5,.760,10.9,32.2,20.2,8.5,4.7,102.4
19,Chicago Bulls,22.3,.353,60.6,.474,25.2,.783,11.7,34.0,21.7,6.3,5.8,100.8
20,Toronto Raptors,25.1,.352,58.2,.499,24.6,.787,10.7,30.8,20.7,7.5,4.4,104.0
21,Oklahoma City Thunder,22.7,.339,64.1,.486,24.6,.754,12.8,34.7,20.5,7.3,5.5,104.0
22,Memphis Grizzlies,15.2,.339,67.3,.485,22.8,.773,10.4,32.1,21.7,8.5,4.2,98.3
23,Utah Jazz,21.7,.343,57.5,.486,23.5,.721,12.0,31.9,19.9,7.6,6.0,95.1
24,Charlotte Hornets,19.1,.318,65.4,.450,22.8,.748,10.0,34.1,20.2,6.1,5.5,94.2
25,Houston Rockets,32.7,.348,50.6,.506,26.0,.715,11.7,32.0,22.2,9.5,5.0,103.9
26,Miami Heat,20.2,.335,57.0,.499,23.7,.741,9.1,30.0,19.8,7.8,4.5,94.7
27,Phoenix Suns,25.0,.341,60.9,.497,21.5,.760,10.9,32.2,20.2,8.5,4.7,102.4
28,Los Angeles Clippers,26.9,.376,56.4,.519,25.2,.710,9.6,33.1,24.8,7.8,5.0,106.7
29,Oklahoma City Thunder,22.7,.339,64.1,.486,24.6,.754,12.8,34.7,20.5,7.3,5.5,104.0
30,San Antonio Spurs,22.5,.367,61.1,.505,21.4,.780,9.8,33.8,24.4,8.0,5.4,103.2
