pick #,name,3pa,3pp,2pa,2pp,fta,ftp,orb,drb,ast,stl,blk,pts
1,Philadelphia 76ers,12,10,17,7,10,23,3,1,2,7,9,7
2,Los Angeles Lakers,15,29,8,11,8,30,4,2,7,13,17,11
3,Boston Celtics,10,2,23,25,20,17,20,6,20,23,18,20
4,Phoenix Suns,20,30,9,24,6,27,8,15,29,27,21,21
5,Sacramento Kings,28,3,3,29,30,28,19,29,25,11,25,30
6,Orlando Magic,14,28,18,17,21,21,25,24,11,20,13,24
7,Minnesota Timberwolves,30,19,2,10,5,2,7,27,18,6,24,8
8,New York Knicks,29,27,1,18,28,5,5,19,13,29,8,18
9,Dallas Mavericks,4,17,27,21,29,19,30,21,19,25,29,28
10,Sacramento Kings,28,3,3,29,30,28,19,29,25,11,25,30
11,Charlotte Hornets,21,8,7,27,1,24,12,4,24,28,19,10
12,Detroit Pistons,16,5,14,26,24,25,11,18,15,14,27,22
13,Denver Nuggets,8,7,21,8,12,18,2,20,5,16,12,6
14,Miami Heat,9,16,22,14,25,22,21,13,17,21,6,23
15,Portland Trail Blazers,19,11,11,23,18,3,9,5,30,26,7,16
16,Chicago Bulls,6,21,15,30,26,20,16,8,10,18,30,26
17,Milwaukee Bucks,25,22,13,6,7,8,29,28,14,2,5,15
18,Indiana Pacers,26,9,4,13,27,11,17,25,23,3,25,17
19,Atlanta Hawks,7,15,24,22,23,7,22,23,8,12,23,25
20,Portland Trail Blazers,19,11,11,23,18,3,9,5,30,26,7,16
21,Oklahoma City Thunder,11,23,16,16,4,29,1,26,28,1,11,12
22,Brooklyn Nets,2,20,29,19,11,15,15,9,9,30,16,14
23,Toronto Raptors,3,18,25,3,13,4,14,11,6,18,2,4
24,Utah Jazz,13,12,26,12,15,12,23,11,21,4,9,19
25,Orlando Magic,14,28,18,17,21,21,25,24,11,20,13,24
26,Portland Trail Blazers,19,11,11,23,18,3,9,5,30,26,7,16
27,Brooklyn Nets,2,20,29,19,11,15,15,9,9,30,16,14
28,Los Angeles Lakers,15,29,8,11,8,30,4,2,7,13,17,11
29,San Antonio Spurs,27,26,5,20,18,13,6,14,15,14,4,27
30,Utah Jazz,13,12,26,12,15,12,23,11,21,4,9,19
